neighborhood,property_type,bedrooms,avg_price,area_sqft,price_per_sqft,date,trend_percentage
015 sqftTHREE BED PLUS MAID ROOM VILLA II KITCHEN APPLINANCES II BEACHFRONTThe Pulse Beachfront,villa,0,155000.0,2558.0,60.59,2025-04-24,0
878 sqftBrand New | Single Row | Modern FinishLa Violeta 1,villa,0,185000.0,1982.0,93.34,2025-04-24,0
Al Furjan,villa,0,370000.0,6135.0,60.31,2025-04-24,0
Al Mankhool,apartment,0,88990.0,1310.0,67.93,2025-04-24,0
Al Warqaa 1,apartment,0,105000.0,1725.0,60.87,2025-04-24,0
Barsha Heights (Tecom),apartment,0,117495.0,978.0,120.14,2025-04-24,0
Business Bay,apartment,0,70000.0,469.0,149.25,2025-04-24,0
Centrium Towers,apartment,0,56000.0,721.0,77.67,2025-04-24,0
Cilia,apartment,9,3399999.0,1453.0,2339.99,2025-04-24,0
DAMAC Hills 2 (Akoya by DAMAC),apartment,0,840000.0,756.0,1111.11,2025-04-24,0
DAMAC Hills 2 (Akoya by DAMAC),apartment,1,775000.0,637.0,1216.64,2025-04-24,0
DAMAC Hills 2 (Akoya by DAMAC),house,0,80000.0,1208.0,66.23,2025-04-24,0
DAMAC Maison Prive,apartment,0,190000.0,1381.0,137.58,2025-04-24,0
Ghaf Woods,apartment,0,3333000.0,1248.0,2670.67,2025-04-24,0
International City Phase 2 (Warsan 4),apartment,0,74000.0,1202.0,61.56,2025-04-24,0
JVC District 10,villa,0,110000.0,793.0,138.71,2025-04-24,0
JVC District 12,villa,0,67000.0,743.0,90.17,2025-04-24,0
JVC District 13,villa,0,71000.0,716.5,99.09,2025-04-24,0
JVC District 17,villa,0,61333.33,659.0,93.07,2025-04-24,0
JVC District 18,villa,0,45000.0,384.0,117.19,2025-04-24,0
The Wings,apartment,0,79999.0,769.0,104.03,2025-04-24,0
Verdes by Haven,apartment,0,1280000.0,873.0,1466.21,2025-04-24,0
